attendance,date,start_time,Stadium,weather,wind
22556,5/1/2017,7:11 PM,HOU-MinuteMaidPk,"81 degrees, partly cloudy","6 mph, Out to LF"
20148,5/1/2017,7:15 PM,KCR-KauffmanStad,"61 degrees, clear","14 mph, L to R"
44606,5/1/2017,7:10 PM,LAD-Dodger Stad,"71 degrees, clear","4 mph, Out to RF"
16096,5/1/2017,7:12 PM,MIA-loanDepot pk,"76 degrees, roof closed","0 mph, None"
25566,5/1/2017,7:08 PM,NYY-Yankee Stad3,"63 degrees, partly cloudy","11 mph, In from RF"
36339,5/1/2017,7:15 PM,STL-Busch Stad 3,"50 degrees, cloudy","17 mph, Out to CF"
23613,4/30/2017,1:10 PM,ARI-Chase Field,"81 degrees, sunny","9 mph, Varies"
36916,4/30/2017,8:10 PM,BOS-Fenway Pk,"47 degrees, cloudy","10 mph, R to L"
21824,4/30/2017,1:10 PM,CLE-Progressive,"76 degrees, partly cloudy","15 mph, Out to CF"
26045,4/30/2017,1:10 PM,DET-Comerica Pk,"49 degrees, cloudy","12 mph, L to R"
34880,4/30/2017,1:12 PM,HOU-MinuteMaidPk,"69 degrees, partly cloudy","14 mph, In from LF"
32685,4/30/2017,2:18 PM,KCR-KauffmanStad,"54 degrees, rain","12 mph, R to L"
48961,4/30/2017,1:10 PM,LAD-Dodger Stad,"87 degrees, sunny","5 mph, Out to RF"
26245,4/30/2017,1:17 PM,MIA-loanDepot pk,"75 degrees, roof closed","0 mph, None"
24395,4/30/2017,1:11 PM,MIL-Am Fam Field,"66 degrees, roof closed","0 mph, None"
41022,4/30/2017,1:09 PM,NYY-Yankee Stad3,"61 degrees, cloudy","10 mph, In from CF"
41989,4/30/2017,1:05 PM,SFG-Oracle Park,"70 degrees, sunny","10 mph, R to L"
45282,4/30/2017,1:15 PM,STL-Busch Stad 3,"65 degrees, drizzle","12 mph, Out to RF"
39804,4/30/2017,2:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
42986,4/30/2017,1:07 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
36806,4/30/2017,1:34 PM,WSN-Natls Park,"84 degrees, overcast","7 mph, In from RF"
30445,4/29/2017,5:09 PM,ARI-Chase Field,"79 degrees, clear","9 mph, R to L"
36776,4/29/2017,4:05 PM,BOS-Fenway Pk,"83 degrees, cloudy","20 mph, Out to RF"
21221,4/29/2017,4:10 PM,CLE-Progressive,"47 degrees, overcast","18 mph, In from CF"
36217,4/29/2017,1:10 PM,DET-Comerica Pk,"47 degrees, cloudy","10 mph, L to R"
32147,4/29/2017,6:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
53110,4/29/2017,6:10 PM,LAD-Dodger Stad,"77 degrees, clear","8 mph, Out to CF"
33152,4/29/2017,7:10 PM,MIA-loanDepot pk,"73 degrees, roof closed","0 mph, None"
30026,4/29/2017,6:10 PM,MIL-Am Fam Field,"64 degrees, roof closed","0 mph, None"
37303,4/29/2017,1:09 PM,NYY-Yankee Stad3,"80 degrees, partly cloudy","14 mph, R to L"
42862,4/29/2017,6:05 PM,SFG-Oracle Park,"66 degrees, clear","13 mph, In from RF"
44597,4/29/2017,6:15 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
42419,4/29/2017,1:08 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
36501,4/29/2017,1:06 PM,WSN-Natls Park,"84 degrees, partly cloudy","11 mph, Out to RF"
19300,4/28/2017,6:40 PM,ARI-Chase Field,"75 degrees, roof closed","0 mph, None"
37054,4/28/2017,7:11 PM,BOS-Fenway Pk,"81 degrees, partly cloudy","13 mph, Out to CF"
20842,4/28/2017,7:10 PM,CLE-Progressive,"63 degrees, overcast","6 mph, Out to RF"
26049,4/28/2017,7:10 PM,DET-Comerica Pk,"61 degrees, cloudy","10 mph, R to L"
28472,4/28/2017,7:11 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
27911,4/28/2017,7:15 PM,KCR-KauffmanStad,"56 degrees, overcast","10 mph, L to R"
46729,4/28/2017,7:10 PM,LAD-Dodger Stad,"77 degrees, clear","11 mph, Out to RF"
19690,4/28/2017,7:10 PM,MIA-loanDepot pk,"77 degrees, roof closed","0 mph, None"
26453,4/28/2017,7:10 PM,MIL-Am Fam Field,"62 degrees, roof closed","0 mph, None"
36912,4/28/2017,7:08 PM,NYY-Yankee Stad3,"75 degrees, partly cloudy","3 mph, In from RF"
41436,4/28/2017,7:15 PM,SFG-Oracle Park,"64 degrees, clear","15 mph, Out to CF"
42722,4/28/2017,7:15 PM,STL-Busch Stad 3,"58 degrees, overcast","7 mph, R to L"
28968,4/28/2017,7:07 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
36256,4/28/2017,7:08 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
34562,4/28/2017,7:06 PM,WSN-Natls Park,"83 degrees, partly cloudy","10 mph, Out to CF"
15452,4/27/2017,6:40 PM,ARI-Chase Field,"88 degrees, cloudy","10 mph, Varies"
34054,4/27/2017,7:10 PM,BOS-Fenway Pk,"53 degrees, cloudy","10 mph, In from RF"
14452,4/27/2017,6:25 PM,CLE-Progressive,"64 degrees, partly cloudy","16 mph, L to R"
34929,4/27/2017,1:13 PM,COL-Coors Fld,"46 degrees, cloudy","6 mph, In from CF"
25325,4/27/2017,1:55 PM,DET-Comerica Pk,"64 degrees, overcast","14 mph, R to L"
37603,4/27/2017,7:07 PM,LAA-Angel Stad,"75 degrees, partly cloudy","8 mph, Out to CF"
23243,4/27/2017,1:10 PM,NYM-Citi Field,"67 degrees, cloudy","9 mph, Out to LF"
22180,4/27/2017,1:05 PM,PHI-CitizensBank,"78 degrees, partly cloudy","6 mph, Out to CF"
41580,4/27/2017,12:45 PM,SFG-Oracle Park,"65 degrees, partly cloudy","15 mph, Out to CF"
40099,4/27/2017,12:47 PM,STL-Busch Stad 3,"52 degrees, overcast","8 mph, Out to RF"
40035,4/27/2017,6:16 PM,STL-Busch Stad 3,"62 degrees, clear","4 mph, R to L"
12215,4/26/2017,6:40 PM,ARI-Chase Field,"87 degrees, partly cloudy","13 mph, Varies"
16289,4/26/2017,7:07 PM,BAL-Camden Yards,"65 degrees, cloudy","1 mph, Out to LF"
32072,4/26/2017,7:10 PM,BOS-Fenway Pk,"53 degrees, cloudy","8 mph, In from CF"
18218,4/26/2017,1:10 PM,CHW-Guaranteed,"77 degrees, partly cloudy","18 mph, Out to CF"
16052,4/26/2017,6:10 PM,CLE-Progressive,"82 degrees, partly cloudy","17 mph, Out to RF"
22461,4/26/2017,6:41 PM,COL-Coors Fld,"55 degrees, partly cloudy","9 mph, In from CF"
23327,4/26/2017,7:10 PM,DET-Comerica Pk,"76 degrees, clear","16 mph, In from LF"
30248,4/26/2017,7:08 PM,LAA-Angel Stad,"69 degrees, cloudy","5 mph, Out to CF"
19062,4/26/2017,12:40 PM,MIL-Am Fam Field,"68 degrees, overcast","12 mph, R to L"
22819,4/26/2017,7:10 PM,NYM-Citi Field,"59 degrees, cloudy","3 mph, In from LF"
26191,4/26/2017,7:06 PM,PHI-CitizensBank,"64 degrees, cloudy","3 mph, Out to CF"
16904,4/26/2017,7:07 PM,PIT-PNC Pk,"76 degrees, clear","6 mph, R to L"
41573,4/26/2017,7:15 PM,SFG-Oracle Park,"58 degrees, overcast","16 mph, Out to CF"
22365,4/26/2017,7:08 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
17531,4/25/2017,6:40 PM,ARI-Chase Field,"85 degrees, partly cloudy","15 mph, L to R"
11472,4/25/2017,7:07 PM,BAL-Camden Yards,"59 degrees, cloudy","16 mph, In from CF"
14591,4/25/2017,7:10 PM,CHW-Guaranteed,"77 degrees, cloudy","15 mph, In from RF"
14581,4/25/2017,6:10 PM,CLE-Progressive,"70 degrees, partly cloudy","15 mph, In from RF"
21340,4/25/2017,7:46 PM,COL-Coors Fld,"43 degrees, overcast","5 mph, R to L"
22728,4/25/2017,7:10 PM,DET-Comerica Pk,"69 degrees, partly cloudy","11 mph, In from LF"
30124,4/25/2017,7:09 PM,LAA-Angel Stad,"70 degrees, cloudy","5 mph, R to L"
28449,4/25/2017,6:40 PM,MIL-Am Fam Field,"64 degrees, partly cloudy","16 mph, In from CF"
15326,4/25/2017,7:05 PM,PIT-PNC Pk,"57 degrees, drizzle","7 mph, In from LF"
41329,4/25/2017,7:15 PM,SFG-Oracle Park,"58 degrees, partly cloudy","17 mph, Out to RF"
40223,4/25/2017,7:14 PM,STL-Busch Stad 3,"77 degrees, partly cloudy","19 mph, R to L"
20568,4/25/2017,7:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
14758,4/24/2017,6:40 PM,ARI-Chase Field,"88 degrees, partly cloudy","13 mph, Out to RF"
11142,4/24/2017,7:06 PM,BAL-Camden Yards,"58 degrees, cloudy","5 mph, In from RF"
11484,4/24/2017,7:14 PM,CHW-Guaranteed,"65 degrees, clear","8 mph, L to R"
23019,4/24/2017,6:41 PM,COL-Coors Fld,"62 degrees, cloudy","5 mph, In from RF"
25304,4/24/2017,7:09 PM,LAA-Angel Stad,"66 degrees, partly cloudy","5 mph, Out to CF"
23943,4/24/2017,6:40 PM,MIL-Am Fam Field,"67 degrees, roof closed","0 mph, None"
13445,4/24/2017,7:08 PM,PIT-PNC Pk,"54 degrees, drizzle","13 mph, In from CF"
41399,4/24/2017,7:15 PM,SFG-Oracle Park,"59 degrees, overcast","15 mph, Out to CF"
19027,4/24/2017,7:08 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
28704,4/23/2017,1:11 PM,ARI-Chase Field,"72 degrees, roof closed","0 mph, None"
35522,4/23/2017,1:38 PM,BAL-Camden Yards,"58 degrees, partly cloudy","3 mph, In from LF"
24444,4/23/2017,1:10 PM,CHW-Guaranteed,"65 degrees, sunny","6 mph, L to R"
32670,4/23/2017,1:10 PM,CIN-GreatAmer BP,"60 degrees, partly cloudy","11 mph, In from LF"
42011,4/23/2017,1:11 PM,COL-Coors Fld,"70 degrees, partly cloudy","6 mph, R to L"
35034,4/23/2017,12:39 PM,LAA-Angel Stad,"78 degrees, sunny","6 mph, Out to CF"
31158,4/23/2017,1:11 PM,MIL-Am Fam Field,"68 degrees, sunny","7 mph, Out to LF"
26713,4/23/2017,1:13 PM,MIN-Target Field,"62 degrees, partly cloudy","10 mph, In from LF"
27044,4/23/2017,8:08 PM,NYM-Citi Field,"53 degrees, partly cloudy","11 mph, Out to LF"
24165,4/23/2017,1:07 PM,OAK-Coliseum,"64 degrees, partly cloudy","13 mph, Out to LF"
28632,4/23/2017,1:37 PM,PHI-CitizensBank,"61 degrees, sunny","7 mph, In from CF"
27840,4/23/2017,1:35 PM,PIT-PNC Pk,"63 degrees, sunny","7 mph, In from CF"
26070,4/23/2017,1:43 PM,SDP-Petco Pk,"69 degrees, sunny","11 mph, L to R"
15548,4/23/2017,1:11 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
37177,4/23/2017,2:08 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
36294,4/22/2017,5:10 PM,ARI-Chase Field,"74 degrees, roof closed","0 mph, None"
35457,4/22/2017,7:33 PM,BAL-Camden Yards,"55 degrees, rain","6 mph, In from LF"
32044,4/22/2017,6:10 PM,CHW-Guaranteed,"53 degrees, clear","10 mph, L to R"
27189,4/22/2017,1:10 PM,CIN-GreatAmer BP,"51 degrees, overcast","12 mph, In from LF"
39239,4/22/2017,6:12 PM,COL-Coors Fld,"59 degrees, clear","3 mph, Out to CF"
41345,4/22/2017,6:08 PM,LAA-Angel Stad,"85 degrees, clear","7 mph, Out to CF"
30865,4/22/2017,6:10 PM,MIL-Am Fam Field,"67 degrees, roof closed","0 mph, None"
25719,4/22/2017,1:11 PM,MIN-Target Field,"65 degrees, sunny","10 mph, R to L"
42145,4/22/2017,4:05 PM,NYM-Citi Field,"55 degrees, drizzle","5 mph, In from RF"
20722,4/22/2017,1:07 PM,OAK-Coliseum,"66 degrees, overcast","10 mph, Out to RF"
31334,4/22/2017,7:07 PM,PHI-CitizensBank,"54 degrees, cloudy","8 mph, In from CF"
36140,4/22/2017,4:07 PM,PIT-PNC Pk,"53 degrees, cloudy","8 mph, Out to RF"
39319,4/22/2017,5:43 PM,SDP-Petco Pk,"76 degrees, clear","8 mph, L to R"
17008,4/22/2017,6:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
41446,4/22/2017,7:08 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
27018,4/21/2017,6:40 PM,ARI-Chase Field,"91 degrees, clear","14 mph, Varies"
34442,4/21/2017,7:07 PM,BAL-Camden Yards,"73 degrees, clear","4 mph, R to L"
18159,4/21/2017,7:11 PM,CHW-Guaranteed,"48 degrees, cloudy","10 mph, L to R"
29350,4/21/2017,7:10 PM,CIN-GreatAmer BP,"61 degrees, partly cloudy","7 mph, Varies"
27663,4/21/2017,6:41 PM,COL-Coors Fld,"42 degrees, cloudy","9 mph, Out to LF"
40176,4/21/2017,7:09 PM,LAA-Angel Stad,"85 degrees, clear","5 mph, R to L"
23126,4/21/2017,7:11 PM,MIL-Am Fam Field,"64 degrees, roof closed","0 mph, None"
22647,4/21/2017,7:10 PM,MIN-Target Field,"62 degrees, partly cloudy","7 mph, L to R"
34773,4/21/2017,7:12 PM,NYM-Citi Field,"50 degrees, cloudy","14 mph, In from CF"
15255,4/21/2017,7:07 PM,OAK-Coliseum,"68 degrees, partly cloudy","8 mph, Out to RF"
24189,4/21/2017,7:09 PM,PHI-CitizensBank,"61 degrees, cloudy","9 mph, In from CF"
30565,4/21/2017,7:05 PM,PIT-PNC Pk,"64 degrees, partly cloudy","11 mph, Out to CF"
30413,4/21/2017,7:11 PM,SDP-Petco Pk,"71 degrees, clear","8 mph, L to R"
17683,4/21/2017,7:11 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
31320,4/21/2017,7:10 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
27498,4/20/2017,7:36 PM,ATL-Truist Pk,"77 degrees, cloudy","6 mph, R to L"
11910,4/20/2017,7:10 PM,CIN-GreatAmer BP,"74 degrees, overcast","9 mph, In from RF"
23173,4/20/2017,1:11 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
26451,4/20/2017,7:10 PM,MIL-Am Fam Field,"65 degrees, roof closed","0 mph, None"
17339,4/20/2017,12:11 PM,MIN-Target Field,"43 degrees, overcast","13 mph, Out to RF"
24656,4/20/2017,7:11 PM,NYM-Citi Field,"62 degrees, cloudy","10 mph, R to L"
10707,4/20/2017,7:08 PM,OAK-Coliseum,"64 degrees, partly cloudy","11 mph, Out to RF"
17831,4/20/2017,6:10 PM,SDP-Petco Pk,"70 degrees, clear","15 mph, Out to RF"
13267,4/20/2017,1:11 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
26898,4/20/2017,7:06 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
44283,4/20/2017,12:37 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
22101,4/19/2017,7:36 PM,ATL-Truist Pk,"75 degrees, partly cloudy","7 mph, In from LF"
34864,4/19/2017,2:15 PM,CHC-Wrigley Fld,"53 degrees, overcast","11 mph, In from RF"
15083,4/19/2017,7:10 PM,CIN-GreatAmer BP,"80 degrees, partly cloudy","9 mph, Varies"
24028,4/19/2017,7:12 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
24402,4/19/2017,7:15 PM,KCR-KauffmanStad,"78 degrees, partly cloudy","20 mph, R to L"
45474,4/19/2017,7:11 PM,LAD-Dodger Stad,"68 degrees, clear","3 mph, Out to RF"
22243,4/19/2017,7:09 PM,NYM-Citi Field,"49 degrees, cloudy","12 mph, R to L"
30014,4/19/2017,7:10 PM,NYY-Yankee Stad3,"46 degrees, cloudy","11 mph, R to L"
14031,4/19/2017,12:37 PM,OAK-Coliseum,"66 degrees, partly cloudy","9 mph, In from LF"
17089,4/19/2017,7:11 PM,SDP-Petco Pk,"65 degrees, partly cloudy","9 mph, L to R"
27147,4/19/2017,12:41 PM,SEA-T-Mobile Pk,"52 degrees, roof closed","1 mph, Varies"
40182,4/19/2017,12:45 PM,STL-Busch Stad 3,"76 degrees, partly cloudy","6 mph, Out to LF"
12281,4/19/2017,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
30842,4/19/2017,7:08 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
21834,4/18/2017,7:36 PM,ATL-Truist Pk,"71 degrees, cloudy","10 mph, In from LF"
39026,4/18/2017,7:05 PM,CHC-Wrigley Fld,"77 degrees, partly cloudy","15 mph, Out to LF"
16018,4/18/2017,7:11 PM,CIN-GreatAmer BP,"75 degrees, overcast","10 mph, Varies"
21760,4/18/2017,7:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
20863,4/18/2017,7:15 PM,KCR-KauffmanStad,"77 degrees, clear","11 mph, R to L"
37960,4/18/2017,7:10 PM,LAD-Dodger Stad,"66 degrees, partly cloudy","3 mph, L to R"
16553,4/18/2017,7:10 PM,MIN-Target Field,"53 degrees, cloudy","12 mph, Out to CF"
23536,4/18/2017,7:10 PM,NYM-Citi Field,"54 degrees, clear","15 mph, In from LF"
30075,4/18/2017,7:08 PM,NYY-Yankee Stad3,"52 degrees, clear","12 mph, R to L"
12091,4/18/2017,7:07 PM,OAK-Coliseum,"63 degrees, partly cloudy","14 mph, Out to RF"
19869,4/18/2017,7:10 PM,SDP-Petco Pk,"67 degrees, clear","9 mph, L to R"
16126,4/18/2017,7:10 PM,SEA-T-Mobile Pk,"54 degrees, roof closed","1 mph, Varies"
38806,4/18/2017,7:15 PM,STL-Busch Stad 3,"76 degrees, clear","6 mph, R to L"
16265,4/18/2017,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
29281,4/18/2017,7:09 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
24516,4/17/2017,7:36 PM,ATL-Truist Pk,"75 degrees, partly cloudy","5 mph, R to L"
37318,4/17/2017,11:06 AM,BOS-Fenway Pk,"70 degrees, partly cloudy","15 mph, Out to RF"
38636,4/17/2017,7:07 PM,CHC-Wrigley Fld,"45 degrees, partly cloudy","8 mph, In from LF"
23501,4/17/2017,7:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
35448,4/17/2017,7:10 PM,LAD-Dodger Stad,"64 degrees, partly cloudy","7 mph, Out to RF"
16961,4/17/2017,7:11 PM,MIN-Target Field,"56 degrees, partly cloudy","2 mph, In from CF"
28181,4/17/2017,7:09 PM,NYY-Yankee Stad3,"68 degrees, partly cloudy","15 mph, L to R"
10406,4/17/2017,7:15 PM,OAK-Coliseum,"57 degrees, cloudy","7 mph, In from LF"
16990,4/17/2017,7:11 PM,SEA-T-Mobile Pk,"55 degrees, roof closed","1 mph, Varies"
40172,4/17/2017,6:09 PM,STL-Busch Stad 3,"68 degrees, overcast","7 mph, In from RF"
37147,4/16/2017,1:36 PM,ATL-Truist Pk,"79 degrees, sunny","10 mph, R to L"
36209,4/16/2017,1:35 PM,BOS-Fenway Pk,"85 degrees, sunny","23 mph, Out to RF"
39422,4/16/2017,1:22 PM,CHC-Wrigley Fld,"72 degrees, overcast","9 mph, L to R"
12625,4/16/2017,1:10 PM,CIN-GreatAmer BP,"73 degrees, overcast","16 mph, R to L"
17739,4/16/2017,1:11 PM,CLE-Progressive,"75 degrees, partly cloudy","18 mph, Out to RF"
27950,4/16/2017,1:17 PM,KCR-KauffmanStad,"68 degrees, cloudy","10 mph, In from RF"
39822,4/16/2017,1:11 PM,LAD-Dodger Stad,"78 degrees, sunny","7 mph, Out to RF"
20028,4/16/2017,1:10 PM,MIA-loanDepot pk,"74 degrees, roof closed","0 mph, None"
19511,4/16/2017,3:13 PM,MIN-Target Field,"64 degrees, partly cloudy","20 mph, Out to CF"
31706,4/16/2017,8:08 PM,NYY-Yankee Stad3,"80 degrees, partly cloudy","8 mph, Out to LF"
19678,4/16/2017,1:10 PM,SEA-T-Mobile Pk,"55 degrees, partly cloudy","7 mph, L to R"
41455,4/16/2017,1:05 PM,SFG-Oracle Park,"56 degrees, rain","9 mph, Out to CF"
38188,4/16/2017,1:07 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
29774,4/16/2017,1:36 PM,WSN-Natls Park,"84 degrees, partly cloudy","15 mph, L to R"
41149,4/15/2017,7:12 PM,ATL-Truist Pk,"78 degrees, partly cloudy","10 mph, L to R"
36686,4/15/2017,4:06 PM,BOS-Fenway Pk,"69 degrees, partly cloudy","23 mph, Out to CF"
41814,4/15/2017,1:21 PM,CHC-Wrigley Fld,"81 degrees, sunny","24 mph, Out to CF"
31008,4/15/2017,1:11 PM,CIN-GreatAmer BP,"79 degrees, partly cloudy","12 mph, R to L"
26691,4/15/2017,4:08 PM,CLE-Progressive,"80 degrees, partly cloudy","14 mph, Out to RF"
24162,4/15/2017,6:15 PM,KCR-KauffmanStad,"80 degrees, partly cloudy","21 mph, R to L"
48070,4/15/2017,6:11 PM,LAD-Dodger Stad,"72 degrees, clear","5 mph, Out to RF"
25137,4/15/2017,7:12 PM,MIA-loanDepot pk,"74 degrees, roof closed","0 mph, None"
25938,4/15/2017,1:10 PM,MIN-Target Field,"65 degrees, cloudy","6 mph, Out to RF"
43031,4/15/2017,1:09 PM,NYY-Yankee Stad3,"58 degrees, cloudy","10 mph, R to L"
20140,4/15/2017,1:07 PM,OAK-Coliseum,"63 degrees, partly cloudy","6 mph, Out to RF"
34927,4/15/2017,6:11 PM,SEA-T-Mobile Pk,"55 degrees, partly cloudy","5 mph, Out to RF"
42371,4/15/2017,1:06 PM,SFG-Oracle Park,"62 degrees, partly cloudy","6 mph, In from CF"
40743,4/15/2017,1:09 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
35626,4/15/2017,1:05 PM,WSN-Natls Park,"65 degrees, partly cloudy","6 mph, L to R"
41149,4/14/2017,7:53 PM,ATL-Truist Pk,"79 degrees, partly cloudy","6 mph, L to R"
36813,4/14/2017,7:10 PM,BOS-Fenway Pk,"53 degrees, clear","9 mph, In from RF"
40430,4/14/2017,1:21 PM,CHC-Wrigley Fld,"54 degrees, cloudy","5 mph, In from RF"
23850,4/14/2017,7:10 PM,CIN-GreatAmer BP,"81 degrees, overcast","10 mph, Varies"
25423,4/14/2017,7:11 PM,CLE-Progressive,"50 degrees, partly cloudy","7 mph, In from RF"
26838,4/14/2017,7:15 PM,KCR-KauffmanStad,"78 degrees, clear","19 mph, R to L"
49438,4/14/2017,7:10 PM,LAD-Dodger Stad,"63 degrees, clear","4 mph, Out to RF"
24194,4/14/2017,7:10 PM,MIA-loanDepot pk,"74 degrees, roof closed","0 mph, None"
18466,4/14/2017,7:46 PM,MIN-Target Field,"57 degrees, drizzle","12 mph, Out to LF"
39102,4/14/2017,7:09 PM,NYY-Yankee Stad3,"58 degrees, clear","14 mph, R to L"
15385,4/14/2017,7:07 PM,OAK-Coliseum,"61 degrees, partly cloudy","13 mph, Out to RF"
41855,4/14/2017,7:10 PM,SEA-T-Mobile Pk,"50 degrees, partly cloudy","2 mph, In from CF"
42738,4/14/2017,7:16 PM,SFG-Oracle Park,"56 degrees, partly cloudy","13 mph, Out to CF"
39547,4/14/2017,7:08 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
38664,4/14/2017,4:05 PM,WSN-Natls Park,"70 degrees, sunny","6 mph, R to L"
32400,4/13/2017,2:06 PM,BOS-Fenway Pk,"53 degrees, partly cloudy","15 mph, Out to RF"
38379,4/13/2017,1:20 PM,CHC-Wrigley Fld,"49 degrees, overcast","7 mph, R to L"
13574,4/13/2017,7:10 PM,CIN-GreatAmer BP,"73 degrees, partly cloudy","6 mph, In from CF"
15060,4/13/2017,6:11 PM,CLE-Progressive,"47 degrees, cloudy","10 mph, In from CF"
22573,4/13/2017,1:10 PM,DET-Comerica Pk,"47 degrees, overcast","10 mph, L to R"
22160,4/13/2017,7:15 PM,KCR-KauffmanStad,"77 degrees, cloudy","9 mph, R to L"
30255,4/13/2017,12:38 PM,LAA-Angel Stad,"70 degrees, cloudy","9 mph, R to L"
23192,4/13/2017,7:12 PM,MIA-loanDepot pk,"76 degrees, partly cloudy","10 mph, L to R"
34772,4/13/2017,7:08 PM,NYY-Yankee Stad3,"61 degrees, partly cloudy","7 mph, L to R"
41915,4/13/2017,7:15 PM,SFG-Oracle Park,"54 degrees, partly cloudy","16 mph, Out to CF"
32957,4/13/2017,7:08 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
32211,4/12/2017,7:10 PM,BOS-Fenway Pk,"51 degrees, cloudy","6 mph, R to L"
40844,4/12/2017,7:14 PM,CHC-Wrigley Fld,"45 degrees, cloudy","14 mph, Varies"
15628,4/12/2017,6:09 PM,CLE-Progressive,"52 degrees, partly cloudy","8 mph, L to R"
20968,4/12/2017,1:10 PM,COL-Coors Fld,"67 degrees, sunny","8 mph, Out to LF"
23738,4/12/2017,1:10 PM,DET-Comerica Pk,"49 degrees, cloudy","10 mph, L to R"
24380,4/12/2017,7:15 PM,KCR-KauffmanStad,"74 degrees, cloudy","7 mph, R to L"
34599,4/12/2017,7:07 PM,LAA-Angel Stad,"67 degrees, partly cloudy","4 mph, Out to RF"
16808,4/12/2017,7:11 PM,MIA-loanDepot pk,"73 degrees, roof closed","0 mph, None"
38002,4/12/2017,1:10 PM,NYY-Yankee Stad3,"63 degrees, drizzle","7 mph, L to R"
28272,4/12/2017,7:06 PM,PHI-CitizensBank,"74 degrees, clear","12 mph, L to R"
12327,4/12/2017,7:06 PM,PIT-PNC Pk,"64 degrees, clear","9 mph, Out to CF"
14479,4/12/2017,7:10 PM,SEA-T-Mobile Pk,"57 degrees, roof closed","1 mph, Out to RF"
41656,4/12/2017,7:16 PM,SFG-Oracle Park,"59 degrees, partly cloudy","17 mph, Out to LF"
29919,4/12/2017,7:09 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
31647,4/12/2017,4:06 PM,WSN-Natls Park,"77 degrees, partly cloudy","13 mph, L to R"
37497,4/11/2017,7:10 PM,BOS-Fenway Pk,"74 degrees, cloudy","16 mph, Out to LF"
35002,4/11/2017,4:11 PM,CLE-Progressive,"67 degrees, cloudy","14 mph, Out to RF"
20664,4/11/2017,6:42 PM,COL-Coors Fld,"69 degrees, cloudy","9 mph, L to R"
21237,4/11/2017,1:10 PM,DET-Comerica Pk,"65 degrees, partly cloudy","9 mph, R to L"
34044,4/11/2017,7:08 PM,LAA-Angel Stad,"69 degrees, clear","7 mph, Out to CF"
36519,4/11/2017,7:37 PM,MIA-loanDepot pk,"72 degrees, roof closed","0 mph, None"
28659,4/11/2017,7:07 PM,PHI-CitizensBank,"81 degrees, partly cloudy","9 mph, Out to CF"
11027,4/11/2017,8:19 PM,PIT-PNC Pk,"60 degrees, overcast","11 mph, Out to CF"
18527,4/11/2017,7:10 PM,SEA-T-Mobile Pk,"55 degrees, overcast","2 mph, In from LF"
41562,4/11/2017,7:15 PM,SFG-Oracle Park,"59 degrees, overcast","16 mph, R to L"
48456,4/11/2017,7:28 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
30663,4/11/2017,7:08 PM,WSN-Natls Park,"81 degrees, partly cloudy","10 mph, Out to LF"
41166,4/10/2017,9:01 PM,CHC-Wrigley Fld,"41 degrees, cloudy","8 mph, In from CF"
20504,4/10/2017,6:42 PM,COL-Coors Fld,"58 degrees, cloudy","5 mph, Out to LF"
